iter	Passed	Remaining
0	214	214357
1	231	115273
2	244	81227
3	257	64117
4	271	54064
5	286	47390
6	300	42640
7	315	39083
8	329	36318
9	343	34028
10	357	32177
11	371	30619
12	387	29453
13	403	28395
14	423	27787
15	445	27422
16	464	26878
17	482	26324
18	499	25779
19	513	25174
20	527	24609
21	542	24125
22	556	23653
23	580	23590
24	604	23569
25	624	23379
26	654	23573
27	679	23581
28	701	23492
29	725	23470
30	749	23436
31	773	23399
32	809	23730
33	838	23816
34	863	23805
35	887	23777
36	905	23557
37	920	23302
38	935	23044
39	956	22951
40	980	22922
41	1001	22832
42	1022	22759
43	1044	22684
44	1066	22626
45	1083	22474
46	1101	22326
47	1116	22153
48	1131	21954
49	1145	21771
50	1160	21593
51	1175	21437
52	1191	21283
53	1206	21144
54	1222	21008
55	1237	20866
56	1252	20724
57	1268	20601
58	1283	20478
59	1302	20399
60	1319	20316
61	1336	20214
62	1351	20103
63	1368	20014
64	1389	19990
65	1406	19898
66	1421	19789
67	1440	19741
68	1457	19663
69	1471	19548
70	1487	19460
71	1503	19376
72	1522	19327
73	1539	19264
74	1554	19175
75	1570	19088
76	1584	18997
77	1602	18941
78	1616	18848
79	1631	18761
80	1648	18699
81	1661	18605
82	1674	18502
83	1689	18419
84	1705	18363
85	1722	18303
86	1737	18229
87	1753	18170
88	1768	18102
89	1783	18032
90	1800	17985
91	1815	17922
92	1831	17863
93	1847	17802
94	1861	17735
95	1875	17665
96	1889	17593
97	1905	17541
98	1921	17488
99	1938	17445
100	1952	17381
101	1966	17314
102	1981	17255
103	1995	17194
104	2011	17149
105	2028	17106
106	2042	17044
107	2056	16988
108	2071	16931
109	2085	16875
110	2099	16813
111	2115	16774
112	2134	16756
113	2149	16703
114	2162	16644
115	2177	16590
116	2191	16542
117	2206	16491
118	2220	16437
119	2235	16392
120	2251	16358
121	2276	16380
122	2305	16435
123	2329	16459
124	2350	16454
125	2376	16484
126	2396	16473
127	2416	16459
128	2436	16448
129	2460	16463
130	2483	16475
131	2506	16479
132	2525	16463
133	2546	16458
134	2568	16459
135	2589	16452
136	2610	16444
137	2630	16429
138	2649	16412
139	2668	16394
140	2686	16366
141	2702	16331
142	2718	16294
143	2735	16260
144	2751	16221
145	2769	16200
146	2787	16175
147	2802	16132
148	2816	16087
149	2831	16046
150	2847	16010
151	2862	15971
152	2876	15925
153	2891	15886
154	2906	15847
155	2923	15814
156	2938	15778
157	2955	15747
158	2972	15720
159	2990	15699
160	3006	15666
161	3024	15646
162	3040	15614
163	3055	15577
164	3070	15537
165	3085	15500
166	3101	15471
167	3117	15436
168	3132	15404
